objectID,title,description,category,type,anchor,url
admin-ordersFulfillmentOrdersRetrieve,ordersFulfillmentOrdersRetrieve,Retrieves a list of fulfillment orders for a specific order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentOrdersRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentOrdersRetrieve
admin-ordersFulfillmentsRetrieve,ordersFulfillmentsRetrieve,Retrieve order fulfillments.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsRetrieve
admin-ordersFulfillmentsCreate,ordersFulfillmentsCreate,Add shipment order for separate line.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsCreate
admin-ordersFulfillmentRetrieve,ordersFulfillmentRetrieve,Retrieve an existing order fulfillment.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentRetrieve
admin-ordersFulfillmentsEventsList,ordersFulfillmentsEventsList,Retrieve a list of fulfillment events of a order fulfillment.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsEventsList,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsEventsList
admin-ordersFulfillmentsEventsCreate,ordersFulfillmentsEventsCreate,Create a fulfillment event in an existing order fulfillment.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsEventsCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsEventsCreate
admin-ordersFulfillmentsEventsDestroy,ordersFulfillmentsEventsDestroy,Delete an existing fulfillment event.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsEventsDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsEventsDestroy
admin-ordersFulfillmentsEventsRetrieve,ordersFulfillmentsEventsRetrieve,Retrieve a fulfillment event.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsEventsRetrieve,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersFulfillmentsEventsRetrieve
admin-ordersLinesCreate,ordersLinesCreate,Add a new line item to an existing order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersLinesCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersLinesCreate
admin-ordersLinesDestroy,ordersLinesDestroy,Remove a line item from an existing order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersLinesDestroy,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersLinesDestroy
admin-ordersLinesPartialUpdate,ordersLinesPartialUpdate,Update an existing line item in an order.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersLinesPartialUpdate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersLinesPartialUpdate
admin-ordersMarkAsPaidCreate,ordersMarkAsPaidCreate,Marks an order as paid. You can only mark an order as paid if it isn't already fully paid.,Admin API,orders,/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersMarkAsPaidCreate,https://developers.29next.com/docs/api/admin/redirect/?v=2024-04-01#/operations/ordersMarkAsPaidCreate
